nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x00000178 0x00000178 5   6            ascii   .text
2    0x0000019f 0x0000019f 6   7            ascii   `.rsrc
3    0x000001c7 0x000001c7 7   8            ascii   @.reloc
4    0x0000d424 0x0040e424 5   24   .text   utf32le Yu=!꠸
642  0x00020943 0x00421943 71  143  .text   utf16le m_lblAdvancedCalibrationFullScannerIdentificationSerialNumber.Modifiers
643  0x000209d6 0x004219d6 38  77   .text   utf16le m_lblDXResultsDXReads.DefaultModifiers
644  0x00020a27 0x00421a27 28  57   .text   utf16le m_lblDXResultsDXReads.Locked
645  0x00020a64 0x00421a64 31  63   .text   utf16le m_lblDXResultsDXReads.Modifiers
646  0x00020aa7 0x00421aa7 40  81   .text   utf16le m_lblDXResultsTrackTest.DefaultModifiers
647  0x00020afc 0x00421afc 30  61   .text   utf16le m_lblDXResultsTrackTest.Locked
648  0x00020b3d 0x00421b3d 33  67   .text   utf16le m_lblDXResultsTrackTest.Modifiers
649  0x00020b84 0x00421b84 38  77   .text   utf16le m_lblFirmwareAPSBoard.DefaultModifiers
650  0x00020bd5 0x00421bd5 28  57   .text   utf16le m_lblFirmwareAPSBoard.Locked
651  0x00020c12 0x00421c12 31  63   .text   utf16le m_lblFirmwareAPSBoard.Modifiers
652  0x00020c55 0x00421c55 38  77   .text   utf16le m_lblFirmwareCCDBoard.DefaultModifiers
653  0x00020ca6 0x00421ca6 28  57   .text   utf16le m_lblFirmwareCCDBoard.Locked
654  0x00020ce3 0x00421ce3 31  63   .text   utf16le m_lblFirmwareCCDBoard.Modifiers
655  0x00020d26 0x00421d26 44  89   .text   utf16le m_lblFirmwareCurrentVersion.DefaultModifiers
656  0x00020d83 0x00421d83 34  69   .text   utf16le m_lblFirmwareCurrentVersion.Locked
657  0x00020dcc 0x00421dcc 37  75   .text   utf16le m_lblFirmwareCurrentVersion.Modifiers
658  0x00020e1b 0x00421e1b 37  75   .text   utf16le m_lblFirmwareDXBoard.DefaultModifiers
659  0x00020e6a 0x00421e6a 27  55   .text   utf16le m_lblFirmwareDXBoard.Locked
660  0x00020ea5 0x00421ea5 30  61   .text   utf16le m_lblFirmwareDXBoard.Modifiers
661  0x00020ee6 0x00421ee6 36  73   .text   utf16le m_lblFirmwareEEProm.DefaultModifiers
662  0x00020f33 0x00421f33 26  53   .text   utf16le m_lblFirmwareEEProm.Locked
663  0x00020f6c 0x00421f6c 29  59   .text   utf16le m_lblFirmwareEEProm.Modifiers
664  0x00020fab 0x00421fab 45  91   .text   utf16le m_lblFirmwareHardwareVersion.DefaultModifiers
665  0x0002100a 0x0042200a 35  71   .text   utf16le m_lblFirmwareHardwareVersion.Locked
666  0x00021055 0x00422055 38  77   .text   utf16le m_lblFirmwareHardwareVersion.Modifiers
667  0x000210a6 0x004220a6 39  79   .text   utf16le m_lblFirmwareLampBoard.DefaultModifiers
668  0x000210f9 0x004220f9 29  59   .text   utf16le m_lblFirmwareLampBoard.Locked
669  0x00021138 0x00422138 32  65   .text   utf16le m_lblFirmwareLampBoard.Modifiers
670  0x0002117d 0x0042217d 40  81   .text   utf16le m_lblFirmwareMotorBoard.DefaultModifiers
671  0x000211d2 0x004221d2 30  61   .text   utf16le m_lblFirmwareMotorBoard.Locked
672  0x00021213 0x00422213 33  67   .text   utf16le m_lblFirmwareMotorBoard.Modifiers
673  0x0002125a 0x0042225a 40  81   .text   utf16le m_lblFirmwareNewVersion.DefaultModifiers
674  0x000212af 0x004222af 30  61   .text   utf16le m_lblFirmwareNewVersion.Locked
675  0x000212f0 0x004222f0 33  67   .text   utf16le m_lblFirmwareNewVersion.Modifiers
676  0x00021337 0x00422337 41  83   .text   utf16le m_lblFirmwareScannerType.DefaultModifiers
677  0x0002138e 0x0042238e 31  63   .text   utf16le m_lblFirmwareScannerType.Locked
678  0x000213d1 0x004223d1 34  69   .text   utf16le m_lblFirmwareScannerType.Modifiers
679  0x0002141a 0x0042241a 42  85   .text   utf16le m_lblFirmwareSerialNumber.DefaultModifiers
680  0x00021473 0x00422473 32  65   .text   utf16le m_lblFirmwareSerialNumber.Locked
681  0x000214b8 0x004224b8 35  71   .text   utf16le m_lblFirmwareSerialNumber.Modifiers
682  0x00021503 0x00422503 38  77   .text   utf16le m_lblFirmwareUSBBoard.DefaultModifiers
683  0x00021554 0x00422554 28  57   .text   utf16le m_lblFirmwareUSBBoard.Locked
684  0x00021591 0x00422591 31  63   .text   utf16le m_lblFirmwareUSBBoard.Modifiers
685  0x000215d4 0x004225d4 39  79   .text   utf16le m_lblFocusResults24_16.DefaultModifiers
686  0x00021627 0x00422627 29  59   .text   utf16le m_lblFocusResults24_16.Locked
687  0x00021666 0x00422666 32  65   .text   utf16le m_lblFocusResults24_16.Modifiers
688  0x000216ab 0x004226ab 38  77   .text   utf16le m_lblFocusResults24_4.DefaultModifiers
689  0x000216fc 0x004226fc 28  57   .text   utf16le m_lblFocusResults24_4.Locked
690  0x00021739 0x00422739 31  63   .text   utf16le m_lblFocusResults24_4.Modifiers
691  0x0002177c 0x0042277c 38  77   .text   utf16le m_lblFocusResults24_8.DefaultModifiers
692  0x000217cd 0x004227cd 28  57   .text   utf16le m_lblFocusResults24_8.Locked
693  0x0002180a 0x0042280a 31  63   .text   utf16le m_lblFocusResults24_8.Modifiers
694  0x0002184d 0x0042284d 39  79   .text   utf16le m_lblFocusResults35_16.DefaultModifiers
695  0x000218a0 0x004228a0 29  59   .text   utf16le m_lblFocusResults35_16.Locked
696  0x000218df 0x004228df 32  65   .text   utf16le m_lblFocusResults35_16.Modifiers
697  0x00021924 0x00422924 38  77   .text   utf16le m_lblFocusResults35_4.DefaultModifiers
698  0x00021975 0x00422975 28  57   .text   utf16le m_lblFocusResults35_4.Locked
699  0x000219b2 0x004229b2 31  63   .text   utf16le m_lblFocusResults35_4.Modifiers
700  0x000219f5 0x004229f5 38  77   .text   utf16le m_lblFocusResults35_8.DefaultModifiers
701  0x00021a46 0x00422a46 28  57   .text   utf16le m_lblFocusResults35_8.Locked
702  0x00021a83 0x00422a83 31  63   .text   utf16le m_lblFocusResults35_8.Modifiers
703  0x00021ac6 0x00422ac6 44  89   .text   utf16le m_lblFocusResultsCCDStepper.DefaultModifiers
704  0x00021b23 0x00422b23 34  69   .text   utf16le m_lblFocusResultsCCDStepper.Locked
705  0x00021b6c 0x00422b6c 37  75   .text   utf16le m_lblFocusResultsCCDStepper.Modifiers
706  0x00021bbb 0x00422bbb 45  91   .text   utf16le m_lblFocusResultsLensStepper.DefaultModifiers
707  0x00021c1a 0x00422c1a 35  71   .text   utf16le m_lblFocusResultsLensStepper.Locked
708  0x00021c65 0x00422c65 38  77   .text   utf16le m_lblFocusResultsLensStepper.Modifiers
709  0x00021cb6 0x00422cb6 51  103  .text   utf16le m_lblPCSEEProm35mm16BaseCCDStepper.DefaultModifiers
710  0x00021d21 0x00422d21 41  83   .text   utf16le m_lblPCSEEProm35mm16BaseCCDStepper.Locked
711  0x00021d78 0x00422d78 44  89   .text   utf16le m_lblPCSEEProm35mm16BaseCCDStepper.Modifiers
712  0x00021dd5 0x00422dd5 48  97   .text   utf16le m_lblPCSEEProm35mm16BaseIrSpeed.DefaultModifiers
713  0x00021e3a 0x00422e3a 38  77   .text   utf16le m_lblPCSEEProm35mm16BaseIrSpeed.Locked
714  0x00021e8b 0x00422e8b 41  83   .text   utf16le m_lblPCSEEProm35mm16BaseIrSpeed.Modifiers
715  0x00021ee2 0x00422ee2 52  105  .text   utf16le m_lblPCSEEProm35mm16BaseLensStepper.DefaultModifiers
716  0x00021f4f 0x00422f4f 42  85   .text   utf16le m_lblPCSEEProm35mm16BaseLensStepper.Locked
717  0x00021fa8 0x00422fa8 45  91   .text   utf16le m_lblPCSEEProm35mm16BaseLensStepper.Modifiers
718  0x00022007 0x00423007 51  103  .text   utf16le m_lblPCSEEProm35mm16BaseMotorSpeed.DefaultModifiers
719  0x00022072 0x00423072 41  83   .text   utf16le m_lblPCSEEProm35mm16BaseMotorSpeed.Locked
720  0x000220c9 0x004230c9 44  89   .text   utf16le m_lblPCSEEProm35mm16BaseMotorSpeed.Modifiers
721  0x00022126 0x00423126 47  95   .text   utf16le m_lblPCSEEProm35mm16BaseOffset.DefaultModifiers
722  0x00022189 0x00423189 37  75   .text   utf16le m_lblPCSEEProm35mm16BaseOffset.Locked
723  0x000221d8 0x004231d8 40  81   .text   utf16le m_lblPCSEEProm35mm16BaseOffset.Modifiers
724  0x0002222d 0x0042322d 46  94   .text   utf16le m_lblPCSEEPromHardwareVersion.DefaultModifiers
725  0x0002228e 0x0042328e 36  74   .text   utf16le m_lblPCSEEPromHardwareVersion.Locked
726  0x000222db 0x004232db 39  80   .text   utf16le m_lblPCSEEPromHardwareVersion.Modifiers
727  0x0002232e 0x0042332e 42  86   .text   utf16le m_lblPCSEEPromScannerType.DefaultModifiers
728  0x00022387 0x00423387 32  66   .text   utf16le m_lblPCSEEPromScannerType.Locked
729  0x000223cc 0x004233cc 35  72   .text   utf16le m_lblPCSEEPromScannerType.Modifiers
730  0x00022417 0x00423417 43  88   .text   utf16le m_lblPCSEEPromSerialNumber.DefaultModifiers
731  0x00022472 0x00423472 33  68   .text   utf16le m_lblPCSEEPromSerialNumber.Locked
732  0x000224b9 0x004234b9 36  74   .text   utf16le m_lblPCSEEPromSerialNumber.Modifiers
733  0x00022506 0x00423506 32  66   .text   utf16le m_lblSaveStatus.DefaultModifiers
734  0x0002254b 0x0042354b 22  46   .text   utf16le m_lblSaveStatus.Locked
735  0x0002257c 0x0042357c 25  52   .text   utf16le m_lblSaveStatus.Modifiers
736  0x000225b3 0x004235b3 32  66   .text   utf16le m_lblScanStatus.DefaultModifiers
737  0x000225f8 0x004235f8 22  46   .text   utf16le m_lblScanStatus.Locked
738  0x00022629 0x00423629 25  52   .text   utf16le m_lblScanStatus.Modifiers
739  0x00022660 0x00423660 29  60   .text   utf16le m_ledDXReads.DefaultModifiers
740  0x0002269f 0x0042369f 19  39   .text   utf16le m_ledDXReads.Locked
741  0x000226ca 0x004236ca 22  45   .text   utf16le m_ledDXReads.Modifiers
742  0x000226fb 0x004236fb 32  65   .text   utf16le m_ledFocus24_16.DefaultModifiers
743  0x00022740 0x00423740 22  45   .text   utf16le m_ledFocus24_16.Locked
744  0x00022771 0x00423771 25  51   .text   utf16le m_ledFocus24_16.Modifiers
745  0x000227a8 0x004237a8 31  63   .text   utf16le m_ledFocus24_4.DefaultModifiers
746  0x000227eb 0x004237eb 21  43   .text   utf16le m_ledFocus24_4.Locked
747  0x0002281a 0x0042381a 24  49   .text   utf16le m_ledFocus24_4.Modifiers
748  0x0002284f 0x0042384f 31  63   .text   utf16le m_ledFocus24_8.DefaultModifiers
749  0x00022892 0x00423892 21  43   .text   utf16le m_ledFocus24_8.Locked
750  0x000228c1 0x004238c1 24  49   .text   utf16le m_ledFocus24_8.Modifiers
751  0x000228f6 0x004238f6 32  65   .text   utf16le m_ledFocus35_16.DefaultModifiers
752  0x0002293b 0x0042393b 22  45   .text   utf16le m_ledFocus35_16.Locked
753  0x0002296c 0x0042396c 25  51   .text   utf16le m_ledFocus35_16.Modifiers
754  0x000229a3 0x004239a3 31  63   .text   utf16le m_ledFocus35_4.DefaultModifiers
755  0x000229e6 0x004239e6 21  43   .text   utf16le m_ledFocus35_4.Locked
756  0x00022a15 0x00423a15 24  49   .text   utf16le m_ledFocus35_4.Modifiers
757  0x00022a4a 0x00423a4a 31  63   .text   utf16le m_ledFocus35_8.DefaultModifiers
758  0x00022a8d 0x00423a8d 21  43   .text   utf16le m_ledFocus35_8.Locked
759  0x00022abc 0x00423abc 24  49   .text   utf16le m_ledFocus35_8.Modifiers
760  0x00022af1 0x00423af1 32  65   .text   utf16le m_ledStepperCCD.DefaultModifiers
761  0x00022b36 0x00423b36 22  45   .text   utf16le m_ledStepperCCD.Locked
762  0x00022b67 0x00423b67 25  51   .text   utf16le m_ledStepperCCD.Modifiers
763  0x00022b9e 0x00423b9e 33  67   .text   utf16le m_ledStepperLens.DefaultModifiers
764  0x00022be5 0x00423be5 23  47   .text   utf16le m_ledStepperLens.Locked
765  0x00022c18 0x00423c18 26  53   .text   utf16le m_ledStepperLens.Modifiers
766  0x00022c51 0x00423c51 31  63   .text   utf16le m_ledTrackTest.DefaultModifiers
767  0x00022c94 0x00423c94 21  43   .text   utf16le m_ledTrackTest.Locked
768  0x00022cc3 0x00423cc3 24  49   .text   utf16le m_ledTrackTest.Modifiers
769  0x00022cf8 0x00423cf8 44  89   .text   utf16le m_panelAdvanced4ChannelSave.DefaultModifiers
770  0x00022d55 0x00423d55 36  73   .text   utf16le m_panelAdvanced4ChannelSave.DrawGrid
771  0x00022da2 0x00423da2 36  73   .text   utf16le m_panelAdvanced4ChannelSave.GridSize
772  0x00022def 0x00423def 34  69   .text   utf16le m_panelAdvanced4ChannelSave.Locked
773  0x00022e38 0x00423e38 37  75   .text   utf16le m_panelAdvanced4ChannelSave.Modifiers
774  0x00022e87 0x00423e87 38  77   .text   utf16le m_panelAdvanced4ChannelSave.SnapToGrid
775  0x00022ed8 0x00423ed8 41  83   .text   utf16le m_panelAdvancedCalibrate.DefaultModifiers
776  0x00022f2f 0x00423f2f 33  67   .text   utf16le m_panelAdvancedCalibrate.DrawGrid
777  0x00022f76 0x00423f76 33  67   .text   utf16le m_panelAdvancedCalibrate.GridSize
778  0x00022fbd 0x00423fbd 31  63   .text   utf16le m_panelAdvancedCalibrate.Locked
779  0x00023000 0x00424000 34  69   .text   utf16le m_panelAdvancedCalibrate.Modifiers
780  0x00023049 0x00424049 35  71   .text   utf16le m_panelAdvancedCalibrate.SnapToGrid
781  0x00023095 0x00424095 68  137  .text   utf16le m_panelAdvancedCalibrationFullScannerIdentification.DefaultModifiers
782  0x00023122 0x00424122 60  121  .text   utf16le m_panelAdvancedCalibrationFullScannerIdentification.DrawGrid
783  0x0002319f 0x0042419f 60  121  .text   utf16le m_panelAdvancedCalibrationFullScannerIdentification.GridSize
784  0x0002321c 0x0042421c 58  117  .text   utf16le m_panelAdvancedCalibrationFullScannerIdentification.Locked
785  0x00023295 0x00424295 61  123  .text   utf16le m_panelAdvancedCalibrationFullScannerIdentification.Modifiers
786  0x00023314 0x00424314 62  125  .text   utf16le m_panelAdvancedCalibrationFullScannerIdentification.SnapToGrid
787  0x00023395 0x00424395 38  77   .text   utf16le m_panelAdvancedEEProm.DefaultModifiers
788  0x000233e6 0x004243e6 30  61   .text   utf16le m_panelAdvancedEEProm.DrawGrid
789  0x00023427 0x00424427 30  61   .text   utf16le m_panelAdvancedEEProm.GridSize
790  0x00023468 0x00424468 28  57   .text   utf16le m_panelAdvancedEEProm.Locked
791  0x000234a5 0x004244a5 31  63   .text   utf16le m_panelAdvancedEEProm.Modifiers
792  0x000234e8 0x004244e8 32  65   .text   utf16le m_panelAdvancedEEProm.SnapToGrid
793  0x0002352d 0x0042452d 42  85   .text   utf16le m_panelAdvancedEEPromLoad.DefaultModifiers
794  0x00023586 0x00424586 34  69   .text   utf16le m_panelAdvancedEEPromLoad.DrawGrid
795  0x000235cf 0x004245cf 34  69   .text   utf16le m_panelAdvancedEEPromLoad.GridSize
796  0x00023618 0x00424618 32  65   .text   utf16le m_panelAdvancedEEPromLoad.Locked
797  0x0002365d 0x0042465d 35  71   .text   utf16le m_panelAdvancedEEPromLoad.Modifiers
798  0x000236a8 0x004246a8 36  73   .text   utf16le m_panelAdvancedEEPromLoad.SnapToGrid
799  0x000236f5 0x004246f5 43  87   .text   utf16le m_panelAdvancedLiveAcquire.DefaultModifiers
800  0x00023750 0x00424750 35  71   .text   utf16le m_panelAdvancedLiveAcquire.DrawGrid
801  0x0002379b 0x0042479b 35  71   .text   utf16le m_panelAdvancedLiveAcquire.GridSize
802  0x000237e6 0x004247e6 33  67   .text   utf16le m_panelAdvancedLiveAcquire.Locked
803  0x0002382d 0x0042482d 36  73   .text   utf16le m_panelAdvancedLiveAcquire.Modifiers
804  0x0002387a 0x0042487a 37  75   .text   utf16le m_panelAdvancedLiveAcquire.SnapToGrid
805  0x000238c9 0x004248c9 30  62   .text   utf16le m_panelBottom.DefaultModifiers
806  0x0002390a 0x0042490a 22  46   .text   utf16le m_panelBottom.DrawGrid
807  0x0002393b 0x0042493b 22  45   .text   utf16le m_panelBottom.GridSize
808  0x0002396c 0x0042496c 20  41   .text   utf16le m_panelBottom.Locked
809  0x00023999 0x00424999 23  47   .text   utf16le m_panelBottom.Modifiers
810  0x000239cc 0x004249cc 24  49   .text   utf16le m_panelBottom.SnapToGrid
811  0x00023a01 0x00424a01 37  75   .text   utf16le m_panelBrowserBottom.DefaultModifiers
812  0x00023a50 0x00424a50 30  62   .text   utf16le m_panelBrowserBottom.DrawGridw
813  0x00023a8f 0x00424a8f 29  59   .text   utf16le m_panelBrowserBottom.GridSize
814  0x00023ace 0x00424ace 27  55   .text   utf16le m_panelBrowserBottom.Locked
815  0x00023b09 0x00424b09 30  61   .text   utf16le m_panelBrowserBottom.Modifiers
816  0x00023b4a 0x00424b4a 31  63   .text   utf16le m_panelBrowserBottom.SnapToGrid
817  0x00023b8d 0x00424b8d 34  69   .text   utf16le m_panelBrowserTop.DefaultModifiers
818  0x00023bd6 0x00424bd6 26  53   .text   utf16le m_panelBrowserTop.DrawGrid
819  0x00023c0f 0x00424c0f 26  53   .text   utf16le m_panelBrowserTop.GridSize
820  0x00023c48 0x00424c48 24  49   .text   utf16le m_panelBrowserTop.Locked
821  0x00023c7d 0x00424c7d 27  55   .text   utf16le m_panelBrowserTop.Modifiers
822  0x00023cb8 0x00424cb8 28  57   .text   utf16le m_panelBrowserTop.SnapToGrid
823  0x00023cf5 0x00424cf5 41  83   .text   utf16le m_panelFilmGuidePosition.DefaultModifiers
824  0x00023d4c 0x00424d4c 33  67   .text   utf16le m_panelFilmGuidePosition.DrawGrid
825  0x00023d93 0x00424d93 33  67   .text   utf16le m_panelFilmGuidePosition.GridSize
826  0x00023dda 0x00424dda 31  63   .text   utf16le m_panelFilmGuidePosition.Locked
827  0x00023e1d 0x00424e1d 34  69   .text   utf16le m_panelFilmGuidePosition.Modifiers
828  0x00023e66 0x00424e66 35  71   .text   utf16le m_panelFilmGuidePosition.SnapToGrid
829  0x00023eb1 0x00424eb1 33  67   .text   utf16le m_panelFocusScan.DefaultModifiers
830  0x00023ef8 0x00424ef8 25  51   .text   utf16le m_panelFocusScan.DrawGrid
831  0x00023f2f 0x00424f2f 25  51   .text   utf16le m_panelFocusScan.GridSize
832  0x00023f66 0x00424f66 23  47   .text   utf16le m_panelFocusScan.Locked
833  0x00023f99 0x00424f99 26  53   .text   utf16le m_panelFocusScan.Modifiers
834  0x00023fd2 0x00424fd2 27  56   .text   utf16le m_panelFocusScan.SnapToGrid
835  0x0002400d 0x0042500d 27  55   .text   utf16le m_panelLHS.DefaultModifiers
836  0x00024048 0x00425048 19  39   .text   utf16le m_panelLHS.DrawGrid
837  0x00024073 0x00425073 19  40   .text   utf16le m_panelLHS.GridSize
838  0x0002409e 0x0042509e 17  36   .text   utf16le m_panelLHS.Locked
839  0x000240c5 0x004250c5 20  41   .text   utf16le m_panelLHS.Modifiers
840  0x000240f2 0x004250f2 21  44   .text   utf16le m_panelLHS.SnapToGrid
841  0x00024121 0x00425121 36  74   .text   utf16le m_panelLightControl.DefaultModifiers
842  0x0002416e 0x0042516e 28  57   .text   utf16le m_panelLightControl.DrawGrid
843  0x000241ab 0x004251ab 28  58   .text   utf16le m_panelLightControl.GridSize
844  0x000241e8 0x004251e8 26  53   .text   utf16le m_panelLightControl.Locked
845  0x00024221 0x00425221 29  59   .text   utf16le m_panelLightControl.Modifiers
846  0x00024260 0x00425260 30  61   .text   utf16le m_panelLightControl.SnapToGrid
847  0x000242a1 0x004252a1 27  55   .text   utf16le m_panelPCS.DefaultModifiers
848  0x000242dc 0x004252dc 19  39   .text   utf16le m_panelPCS.DrawGrid
849  0x00024307 0x00425307 19  40   .text   utf16le m_panelPCS.GridSize
850  0x00024332 0x00425332 17  35   .text   utf16le m_panelPCS.Locked
851  0x00024359 0x00425359 20  41   .text   utf16le m_panelPCS.Modifiers
852  0x00024386 0x00425386 21  44   .text   utf16le m_panelPCS.SnapToGrid
853  0x000243b5 0x004253b5 33  67   .text   utf16le m_panelPCSBottom.DefaultModifiers
854  0x000243fc 0x004253fc 25  51   .text   utf16le m_panelPCSBottom.DrawGrid
855  0x00024433 0x00425433 25  51   .text   utf16le m_panelPCSBottom.GridSize
856  0x0002446a 0x0042546a 23  47   .text   utf16le m_panelPCSBottom.Locked
857  0x0002449d 0x0042549d 26  53   .text   utf16le m_panelPCSBottom.Modifiers
858  0x000244d6 0x004254d6 27  55   .text   utf16le m_panelPCSBottom.SnapToGrid
859  0x00024511 0x00425511 30  61   .text   utf16le m_panelPCSTop.DefaultModifiers
860  0x00024552 0x00425552 22  45   .text   utf16le m_panelPCSTop.DrawGrid
861  0x00024583 0x00425583 22  45   .text   utf16le m_panelPCSTop.GridSize
862  0x000245b4 0x004255b4 20  41   .text   utf16le m_panelPCSTop.Locked
863  0x000245e1 0x004255e1 23  47   .text   utf16le m_panelPCSTop.Modifiers
864  0x00024614 0x00425614 24  49   .text   utf16le m_panelPCSTop.SnapToGrid
865  0x00024649 0x00425649 27  55   .text   utf16le m_panelRHS.DefaultModifiers
866  0x00024684 0x00425684 19  39   .text   utf16le m_panelRHS.DrawGrid
867  0x000246af 0x004256af 19  40   .text   utf16le m_panelRHS.GridSize
868  0x000246da 0x004256da 17  35   .text   utf16le m_panelRHS.Locked
869  0x00024701 0x00425701 20  41   .text   utf16le m_panelRHS.Modifiers
870  0x0002472e 0x0042572e 21  44   .text   utf16le m_panelRHS.SnapToGrid
871  0x0002475d 0x0042575d 44  89   .text   utf16le m_panelResultsAlignmentTest.DefaultModifiers
872  0x000247ba 0x004257ba 36  73   .text   utf16le m_panelResultsAlignmentTest.DrawGrid
873  0x00024807 0x00425807 36  73   .text   utf16le m_panelResultsAlignmentTest.GridSize
874  0x00024854 0x00425854 34  70   .text   utf16le m_panelResultsAlignmentTest.Locked
875  0x0002489d 0x0042589d 37  76   .text   utf16le m_panelResultsAlignmentTest.Modifiers
876  0x000248ec 0x004258ec 38  77   .text   utf16le m_panelResultsAlignmentTest.SnapToGrid
877  0x0002493d 0x0042593d 40  81   .text   utf16le m_panelResultsFocusTest.DefaultModifiers
878  0x00024992 0x00425992 32  65   .text   utf16le m_panelResultsFocusTest.DrawGrid
879  0x000249d7 0x004259d7 32  66   .text   utf16le m_panelResultsFocusTest.GridSize
880  0x00024a1c 0x00425a1c 30  61   .text   utf16le m_panelResultsFocusTest.Locked
881  0x00024a5d 0x00425a5d 33  67   .text   utf16le m_panelResultsFocusTest.Modifiers
882  0x00024aa4 0x00425aa4 34  69   .text   utf16le m_panelResultsFocusTest.SnapToGrid
883  0x00024aed 0x00425aed 42  85   .text   utf16le m_panelResultsStepperTest.DefaultModifiers
884  0x00024b46 0x00425b46 34  69   .text   utf16le m_panelResultsStepperTest.DrawGrid
885  0x00024b8f 0x00425b8f 34  69   .text   utf16le m_panelResultsStepperTest.GridSize
886  0x00024bd8 0x00425bd8 32  65   .text   utf16le m_panelResultsStepperTest.Locked
887  0x00024c1d 0x00425c1d 35  71   .text   utf16le m_panelResultsStepperTest.Modifiers
888  0x00024c68 0x00425c68 36  73   .text   utf16le m_panelResultsStepperTest.SnapToGrid
889  0x00024cb5 0x00425cb5 40  82   .text   utf16le m_panelResultsTrackTest.DefaultModifiers
890  0x00024d0a 0x00425d0a 32  65   .text   utf16le m_panelResultsTrackTest.DrawGrid
891  0x00024d4f 0x00425d4f 32  65   .text   utf16le m_panelResultsTrackTest.GridSize
892  0x00024d94 0x00425d94 30  61   .text   utf16le m_panelResultsTrackTest.Locked
893  0x00024dd5 0x00425dd5 33  67   .text   utf16le m_panelResultsTrackTest.Modifiers
894  0x00024e1c 0x00425e1c 34  69   .text   utf16le m_panelResultsTrackTest.SnapToGrid
895  0x00024e65 0x00425e65 27  55   .text   utf16le m_panelTop.DefaultModifiers
896  0x00024ea0 0x00425ea0 19  40   .text   utf16le m_panelTop.DrawGrid
897  0x00024ecb 0x00425ecb 19  40   .text   utf16le m_panelTop.GridSize
898  0x00024ef6 0x00425ef6 17  35   .text   utf16le m_panelTop.Locked
899  0x00024f1d 0x00425f1d 20  41   .text   utf16le m_panelTop.Modifiers
900  0x00024f4a 0x00425f4a 21  43   .text   utf16le m_panelTop.SnapToGrid
901  0x00024f79 0x00425f79 25  51   .text   utf16le m_pbBlue.DefaultModifiers
902  0x00024fb0 0x00425fb0 15  31   .text   utf16le m_pbBlue.Locked
903  0x00024fd3 0x00425fd3 18  37   .text   utf16le m_pbBlue.Modifiers
904  0x00024ffc 0x00425ffc 26  53   .text   utf16le m_pbGreen.DefaultModifiers
905  0x00025035 0x00426035 16  33   .text   utf16le m_pbGreen.Locked
906  0x0002505a 0x0042605a 19  39   .text   utf16le m_pbGreen.Modifiers
907  0x00025085 0x00426085 23  47   .text   utf16le m_pbIR.DefaultModifiers
908  0x000250b8 0x004260b8 13  27   .text   utf16le m_pbIR.Locked
909  0x000250d7 0x004260d7 16  33   .text   utf16le m_pbIR.Modifiers
910  0x000250fc 0x004260fc 35  71   .text   utf16le m_pbPCSAcquireBlue.DefaultModifiers
911  0x00025147 0x00426147 25  51   .text   utf16le m_pbPCSAcquireBlue.Locked
912  0x0002517e 0x0042617e 28  57   .text   utf16le m_pbPCSAcquireBlue.Modifiers
913  0x000251bb 0x004261bb 36  74   .text   utf16le m_pbPCSAcquireGreen.DefaultModifiers
914  0x00025208 0x00426208 26  53   .text   utf16le m_pbPCSAcquireGreen.Locked
915  0x00025241 0x00426241 29  59   .text   utf16le m_pbPCSAcquireGreen.Modifiers
916  0x00025280 0x00426280 33  68   .text   utf16le m_pbPCSAcquireIr.DefaultModifiers
917  0x000252c7 0x004262c7 23  47   .text   utf16le m_pbPCSAcquireIr.Locked
918  0x000252fa 0x004262fa 26  53   .text   utf16le m_pbPCSAcquireIr.Modifiers
919  0x00025333 0x00426333 34  69   .text   utf16le m_pbPCSAcquireRed.DefaultModifiers
920  0x0002537c 0x0042637c 24  49   .text   utf16le m_pbPCSAcquireRed.Locked
921  0x000253b1 0x004263b1 27  55   .text   utf16le m_pbPCSAcquireRed.Modifiers
922  0x000253ec 0x004263ec 44  89   .text   utf16le m_pbPCSOpticalAlignmentBlue.DefaultModifiers
923  0x00025449 0x00426449 34  69   .text   utf16le m_pbPCSOpticalAlignmentBlue.Locked
924  0x00025492 0x00426492 37  75   .text   utf16le m_pbPCSOpticalAlignmentBlue.Modifiers
925  0x000254e1 0x004264e1 43  87   .text   utf16le m_pbPCSOpticalAlignmentRed.DefaultModifiers
926  0x0002553c 0x0042653c 33  67   .text   utf16le m_pbPCSOpticalAlignmentRed.Locked
927  0x00025583 0x00426583 36  73   .text   utf16le m_pbPCSOpticalAlignmentRed.Modifiers
928  0x000255d0 0x004265d0 33  67   .text   utf16le m_pbProgressSave.DefaultModifiers
929  0x00025617 0x00426617 23  47   .text   utf16le m_pbProgressSave.Locked
930  0x0002564a 0x0042664a 26  53   .text   utf16le m_pbProgressSave.Modifiers
931  0x00025683 0x00426683 33  67   .text   utf16le m_pbProgressScan.DefaultModifiers
932  0x000256ca 0x004266ca 23  47   .text   utf16le m_pbProgressScan.Locked
933  0x000256fd 0x004266fd 26  53   .text   utf16le m_pbProgressScan.Modifiers
934  0x00025736 0x00426736 24  49   .text   utf16le m_pbRed.DefaultModifiers
