nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
0    0x0000004d 0x0000004d 44  45           ascii   !This program cannot be run in DOS mode.\r\r\n$
1    0x000000f7 0x000000f7 6   7            ascii   ?Rich4
2    0x00000200 0x00000200 5   6            ascii   .text
3    0x00000227 0x00000227 7   8            ascii   `.rdata
4    0x0000024f 0x0000024f 6   7            ascii   @.data
5    0x00000278 0x00000278 5   6            ascii   .rsrc
6    0x0000029f 0x0000029f 7   8            ascii   @.reloc
2899 0x0002c188 0x1002c188 6   7    .text   ascii   \b_^][d
2900 0x0002c21a 0x1002c21a 4   5    .text   ascii   L$@d
2901 0x0002c22a 0x1002c22a 4   5    .text   ascii   SUW3
2902 0x0002c23e 0x1002c23e 4   5    .text   ascii   FlUP
2903 0x0002c286 0x1002c286 5   6    .text   ascii   ^xh|x
2904 0x0002c297 0x1002c297 5   6    .text   ascii   ^xhxx
2905 0x0002c359 0x1002c359 9   10   .text   ascii   NtgNt3htx
2906 0x0002c3a1 0x1002c3a1 4   5    .text   ascii   D$ P
2907 0x0002c3c2 0x1002c3c2 4   5    .text   ascii   bhlx
2908 0x0002c3c9 0x1002c3c9 4   7    .text   utf8    L$4蟼
2909 0x0002c3d2 0x1002c3d2 4   5    .text   ascii   T$0R
2910 0x0002c3f8 0x1002c3f8 5   6    .text   ascii   t;hhx
2911 0x0002c409 0x1002c409 4   5    .text   ascii   L$@Q
2912 0x0002c40e 0x1002c40e 4   6    .text   utf8    ˉl$\
2913 0x0002c436 0x1002c436 8   9    .text   ascii   L$P_][^d
2914 0x0002c491 0x1002c491 4   5    .text   ascii   L$\fj
2915 0x0002c4d6 0x1002c4d6 7   8    .text   ascii   t(;~tt#
2916 0x0002c4e1 0x1002c4e1 4   5    .text   ascii   L$\fj
2917 0x0002c5af 0x1002c5af 4   6    .text   utf8    ̋D$\b
2918 0x0002c5dc 0x1002c5dc 6   8    .text   utf8    ɉD$(u9
2919 0x0002c5fb 0x1002c5fb 6   8    .text   utf8    D$0+ʉ\b
2920 0x0002c606 0x1002c606 5   6    .text   ascii   N8_^+
2921 0x0002c62b 0x1002c62b 4   5    .text   ascii   D$4@
2922 0x0002c64c 0x1002c64c 7   9    .text   utf8    VD+ЋF@B
2923 0x0002c65c 0x1002c65c 4   5    .text   ascii   D$4+
2924 0x0002c670 0x1002c670 7   9    .text   utf8    VT+ЋFPB
2925 0x0002c680 0x1002c680 4   5    .text   ascii   D$4+
2926 0x0002c698 0x1002c698 7   9    .text   utf8    V@+ЋFDB
2927 0x0002c6a8 0x1002c6a8 4   5    .text   ascii   D$4+
2928 0x0002c6bc 0x1002c6bc 7   9    .text   utf8    VP+ЋFTB
2929 0x0002c6cc 0x1002c6cc 4   5    .text   ascii   D$4+
2930 0x0002c7a1 0x1002c7a1 5   7    .text   utf8    N@+˙A
2931 0x0002c7ab 0x1002c7ab 4   5    .text   ascii   \a_^]
2932 0x0002c7fc 0x1002c7fc 5   7    .text   utf8    NP+˙A
2933 0x0002c806 0x1002c806 4   5    .text   ascii   \a_^]
2934 0x0002c865 0x1002c865 4   5    .text   ascii   \a_^]
2935 0x0002c8c0 0x1002c8c0 4   5    .text   ascii   \a_^]
2936 0x0002c994 0x1002c994 6   8    .text   utf8    D$0+ʉ\b
2937 0x0002c99f 0x1002c99f 5   6    .text   ascii   NH_^+
2938 0x0002ca1e 0x1002ca1e 6   8    .text   utf8    D$0+ʉH
2939 0x0002ca2a 0x1002ca2a 5   6    .text   ascii   NH_^+
2940 0x0002ca41 0x1002ca41 4   6    .text   utf8    tԋV<
2941 0x0002ca4a 0x1002ca4a 6   8    .text   utf8    D$0+ʉH
2942 0x0002ca56 0x1002ca56 5   6    .text   ascii   N8_^+
2943 0x0002ca84 0x1002ca84 5   7    .text   utf8    NP+˙A
2944 0x0002cabf 0x1002cabf 5   7    .text   utf8    ًK`W3
2945 0x0002cac6 0x1002cac6 4   6    .text   utf8    ;ω|$
2946 0x0002cb27 0x1002cb27 4   5    .text   ascii   Plj`
2947 0x0002cb63 0x1002cb63 7   8    .text   ascii   K\fWWj`h
2948 0x0002cb9b 0x1002cb9b 4   5    .text   ascii   ClWh
2949 0x0002cbb7 0x1002cbb7 4   5    .text   ascii   K\fWh
2950 0x0002cc01 0x1002cc01 7   8    .text   ascii   L$0QURV
2951 0x0002cc18 0x1002cc18 6   7    .text   ascii   C\fWWWj
2952 0x0002cc89 0x1002cc89 4   5    .text   ascii   L$4j
2953 0x0002cc92 0x1002cc92 4   5    .text   ascii   APQV
2954 0x0002cc9f 0x1002cc9f 6   7    .text   ascii   u\nPPPj
2955 0x0002cd00 0x1002cd00 7   8    .text   ascii   D$(PUWV
2956 0x0002cd0f 0x1002cd0f 6   7    .text   ascii   u\nPPPj
2957 0x0002cd5d 0x1002cd5d 4   5    .text   ascii   D$00
2958 0x0002cd71 0x1002cd71 4   5    .text   ascii   D$@,
2959 0x0002cd79 0x1002cd79 4   6    .text   utf8    R43Ƀ
2960 0x0002ce2d 0x1002ce2d 4   5    .text   ascii   KlPR
2961 0x0002ce3f 0x1002ce3f 6   9    .text   utf8    D$(PV见
2962 0x0002ce4b 0x1002ce4b 6   7    .text   ascii   u\nPPPj
2963 0x0002cea4 0x1002cea4 6   7    .text   ascii   S\fPPPj
2964 0x0002cee8 0x1002cee8 4   6    .text   utf8    u\vǄ$
2965 0x0002cf60 0x1002cf60 6   7    .text   ascii   u\nPPPj
2966 0x0002cf73 0x1002cf73 4   5    .text   ascii   L$`Q
2967 0x0002d046 0x1002d046 4   5    .text   ascii   t\rHu
2968 0x0002d08d 0x1002d08d 5   6    .text   ascii   L$,PV
2969 0x0002d099 0x1002d099 6   7    .text   ascii   u\nPPPj
2970 0x0002d0b8 0x1002d0b8 4   5    .text   ascii   _^]d
2971 0x0002d0e2 0x1002d0e2 4   5    .text   ascii   |$ \b
2972 0x0002d0ed 0x1002d0ed 4   5    .text   ascii   GlSj
2973 0x0002d10e 0x1002d10e 4   5    .text   ascii   O\fPh
2974 0x0002d130 0x1002d130 4   5    .text   ascii   WtVR
2975 0x0002d1b2 0x1002d1b2 4   5    .text   ascii   D$$3
2976 0x0002d306 0x1002d306 4   5    .text   ascii   N\fUh
2977 0x0002d323 0x1002d323 4   5    .text   ascii   _^]3
2978 0x0002d333 0x1002d333 5   6    .text   ascii   T$$RU
2979 0x0002d362 0x1002d362 4   5    .text   ascii   T$<R
2980 0x0002d36e 0x1002d36e 4   5    .text   ascii   u2PP
2981 0x0002d393 0x1002d393 4   5    .text   ascii   _^]3
2982 0x0002d471 0x1002d471 4   6    .text   utf8    3ҍD(
2983 0x0002d47b 0x1002d47b 4   5    .text   ascii   G\f+G
2984 0x0002d4af 0x1002d4af 4   6    .text   utf8    \ft\fǆ
2985 0x0002d4f9 0x1002d4f9 4   5    .text   ascii   F\f^]
2986 0x0002d51f 0x1002d51f 4   5    .text   ascii   Flh4
2987 0x0002d54f 0x1002d54f 3   6    .text   utf8    ؋D$
2988 0x0002d5b4 0x1002d5b4 4   5    .text   ascii   @sE;
2989 0x0002d5c8 0x1002d5c8 6   8    .text   utf8    F\b;ߋ\$
2990 0x0002d676 0x1002d676 4   5    .text   ascii   F\fPW
2991 0x0002d6f8 0x1002d6f8 4   5    .text   ascii   _[^]
2992 0x0002d733 0x1002d733 4   5    .text   ascii   _[^]
2993 0x0002d756 0x1002d756 4   5    .text   ascii   _[^]
2994 0x0002d79b 0x1002d79b 4   5    .text   ascii   _[^]
2995 0x0002d7ea 0x1002d7ea 6   7    .text   ascii   L$,Uh,
2996 0x0002d848 0x1002d848 4   7    .text   utf8    D$$谺
2997 0x0002d85b 0x1002d85b 6   7    .text   ascii   L$0Uh\f
2998 0x0002d8ee 0x1002d8ee 5   8    .text   utf8    3ҋ؋FL
2999 0x0002d93f 0x1002d93f 5   7    .text   utf8    ̋D$\bV
3000 0x0002da10 0x1002da10 4   5    .text   ascii   T$lR
3001 0x0002da28 0x1002da28 5   7    .text   utf8    PSƄ$\f
3002 0x0002da3f 0x1002da3f 6   7    .text   ascii   N\fWWWj
3003 0x0002da5c 0x1002da5c 4   6    .text   utf8    RƄ$\b
3004 0x0002da72 0x1002da72 4   6    .text   utf8    PǄ$\f
3005 0x0002da9a 0x1002da9a 4   6    .text   utf8    QƄ$\b
3006 0x0002dadd 0x1002dadd 4   5    .text   ascii   RQPS
3007 0x0002daed 0x1002daed 6   7    .text   ascii   V\fWWWj
3008 0x0002db05 0x1002db05 4   6    .text   utf8    PǄ$\b
3009 0x0002db24 0x1002db24 5   7    .text   utf8    3ɉL$D
3010 0x0002db43 0x1002db43 4   7    .text   utf8    |$\赤
3011 0x0002db4c 0x1002db4c 5   7    .text   utf8    L$ Ƅ$
3012 0x0002db93 0x1002db93 4   5    .text   ascii   T$hR
3013 0x0002dba9 0x1002dba9 7   9    .text   utf8    D$lPƄ$\b
3014 0x0002dbda 0x1002dbda 4   5    .text   ascii   |$Ff
3015 0x0002dbe7 0x1002dbe7 5   6    .text   ascii   FlWhH
3016 0x0002dc2d 0x1002dc2d 8   9    .text   ascii   \atIHt ->
3017 0x0002dc7f 0x1002dc7f 4   7    .text   utf8    L$4詤
3018 0x0002dc94 0x1002dc94 4   7    .text   utf8    L$4蔤
3019 0x0002dca2 0x1002dca2 4   7    .text   utf8    L$$膤
3020 0x0002dcbb 0x1002dcbb 4   5    .text   ascii   Hu9h
3021 0x0002dd14 0x1002dd14 6   8    .text   utf8    L$4Ƅ$\b
3022 0x0002dd2b 0x1002dd2b 4   6    .text   utf8    QƄ$\b
3023 0x0002ded0 0x1002ded0 4   7    .text   utf8    |$D蘡
3024 0x0002deff 0x1002deff 4   6    .text   utf8    QƄ$\b
3025 0x0002df26 0x1002df26 6   8    .text   utf8    d~\vǄ$(
3026 0x0002df7c 0x1002df7c 6   7    .text   ascii   V\fPPPj
3027 0x0002dfec 0x1002dfec 10  11   .text   ascii   |$`u%WWj`h
3028 0x0002dffb 0x1002dffb 4   5    .text   ascii   F\fh'
3029 0x0002e097 0x1002e097 6   7    .text   ascii   N\fPPPj
3030 0x0002e0bb 0x1002e0bb 7   9    .text   utf8    D$$PƄ$\b
3031 0x0002e0d1 0x1002e0d1 7   9    .text   utf8    L$8QƄ$\f
3032 0x0002e112 0x1002e112 5   6    .text   ascii   uZPPP
3033 0x0002e139 0x1002e139 7   9    .text   utf8    D$$PƄ$\b
3034 0x0002e14f 0x1002e14f 7   9    .text   utf8    L$8QƄ$\f
3035 0x0002e19d 0x1002e19d 6   7    .text   ascii   V\fPPPj
3036 0x0002e1dd 0x1002e1dd 7   9    .text   utf8    D$$PƄ$\b
3037 0x0002e1f3 0x1002e1f3 7   9    .text   utf8    L$8QƄ$\f
3038 0x0002e251 0x1002e251 6   7    .text   ascii   u\nPPPj
3039 0x0002e271 0x1002e271 7   9    .text   utf8    T$$RƄ$\b
3040 0x0002e287 0x1002e287 7   9    .text   utf8    D$8PƄ$\f
3041 0x0002e2be 0x1002e2be 4   5    .text   ascii   T$DP
3042 0x0002e2cb 0x1002e2cb 7   8    .text   ascii   L$ RPQS
3043 0x0002e2de 0x1002e2de 6   7    .text   ascii   V\fPPPj
3044 0x0002e30e 0x1002e30e 7   9    .text   utf8    L$$QƄ$\b
3045 0x0002e324 0x1002e324 7   9    .text   utf8    T$8RƄ$\f
3046 0x0002e381 0x1002e381 9   10   .text   ascii   N\fWPWjuh'
3047 0x0002e39b 0x1002e39b 6   8    .text   utf8    T$\fRǄ$
3048 0x0002e42c 0x1002e42c 4   5    .text   ascii   l$0W
3049 0x0002e434 0x1002e434 4   5    .text   ascii   QRSU
3050 0x0002e441 0x1002e441 5   6    .text   ascii   u,PPP
3051 0x0002e458 0x1002e458 4   5    .text   ascii   _^]3
3052 0x0002e477 0x1002e477 5   6    .text   ascii   FX9D$
3053 0x0002e47e 0x1002e47e 7   8    .text   ascii   V\u\v9T$
3054 0x0002e488 0x1002e488 5   6    .text   ascii   ;^ht%
3055 0x0002e545 0x1002e545 4   5    .text   ascii   L$TR
3056 0x0002e54a 0x1002e54a 4   5    .text   ascii   T$\P
3057 0x0002e54f 0x1002e54f 7   8    .text   ascii   D$PQSRW
3058 0x0002e557 0x1002e557 4   5    .text   ascii   |$hP
3059 0x0002e55c 0x1002e55c 6   7    .text   ascii   L$4QWU
3060 0x0002e56e 0x1002e56e 6   7    .text   ascii   V\fPPPj
3061 0x0002e582 0x1002e582 4   5    .text   ascii   _^]3
3062 0x0002e5d1 0x1002e5d1 4   5    .text   ascii   D$D3
3063 0x0002e5d6 0x1002e5d6 7   9    .text   utf8    ;ǉ|$(t\t
3064 0x0002e5f8 0x1002e5f8 7   8    .text   ascii   N\fWWj`h
3065 0x0002e666 0x1002e666 4   5    .text   ascii   D$PP
3066 0x0002e66b 0x1002e66b 4   5    .text   ascii   L$PQ
3067 0x0002e6c6 0x1002e6c6 4   5    .text   ascii   _^]3
3068 0x0002e710 0x1002e710 4   7    .text   utf8    P띋Nl
3069 0x0002e779 0x1002e779 4   5    .text   ascii   T$8P
3070 0x0002e789 0x1002e789 4   5    .text   ascii   QRPj
3071 0x0002e79f 0x1002e79f 6   7    .text   ascii   N\fPPPj
3072 0x0002e7d5 0x1002e7d5 4   5    .text   ascii   _^]3
3073 0x0002e815 0x1002e815 6   7    .text   ascii   N\fPPPj
3074 0x0002e861 0x1002e861 4   5    .text   ascii   _^]3
3075 0x0002e89b 0x1002e89b 6   7    .text   ascii   L$ _^]
3076 0x0002e94c 0x1002e94c 4   6    .text   utf8    +ЋA\f
3077 0x0002e9af 0x1002e9af 4   6    .text   utf8    ̋D$\b
3078 0x0002e9f8 0x1002e9f8 4   5    .text   ascii   :twU
3079 0x0002ea71 0x1002ea71 4   5    .text   ascii   ]_[^
3080 0x0002ea94 0x1002ea94 5   6    .text   ascii   taj+V
3081 0x0002eab3 0x1002eab3 4   6    .text   utf8    [ËN$
3082 0x0002eade 0x1002eade 4   6    .text   utf8    [Ë~\f
3083 0x0002eb14 0x1002eb14 5   6    .text   ascii   tSj6V
3084 0x0002eb50 0x1002eb50 4   6    .text   utf8    [Ë~\f
3085 0x0002ec28 0x1002ec28 4   5    .text   ascii   u*Ph
3086 0x0002ec77 0x1002ec77 5   6    .text   ascii   u"PPj
3087 0x0002ecb5 0x1002ecb5 4   5    .text   ascii   PPh@
3088 0x0002ecf2 0x1002ecf2 6   7    .text   ascii   L$\fPPh
3089 0x0002ed28 0x1002ed28 5   7    .text   ascii   u\fPPh
3090 0x0002eda8 0x1002eda8 4   5    .text   ascii   PPPj
3091 0x0002ee2b 0x1002ee2b 4   5    .text   ascii   PPPj
3092 0x0002ee5c 0x1002ee5c 5   6    .text   ascii   D$ h<
3093 0x0002ee74 0x1002ee74 4   5    .text   ascii   L$,j
3094 0x0002ee8d 0x1002ee8d 4   5    .text   ascii   SRSh
3095 0x0002eea3 0x1002eea3 6   8    .text   utf8    L$ QǄ$
3096 0x0002ef02 0x1002ef02 5   6    .text   ascii   SSjph
3097 0x0002ef19 0x1002ef19 6   8    .text   utf8    D$ PǄ$
3098 0x0002ef40 0x1002ef40 5   6    .text   ascii   L$ QW
3099 0x0002ef53 0x1002ef53 4   5    .text   ascii   SSSj
3100 0x0002ef76 0x1002ef76 4   5    .text   ascii   L$ Q
3101 0x0002efaa 0x1002efaa 4   5    .text   ascii   T$pR
3102 0x0002efc2 0x1002efc2 4   5    .text   ascii   D$`P
3103 0x0002efdc 0x1002efdc 4   5    .text   ascii   L$PQ
3104 0x0002f002 0x1002f002 4   5    .text   ascii   T$@R
3105 0x0002f022 0x1002f022 4   5    .text   ascii   D$0P
3106 0x0002f053 0x1002f053 5   6    .text   ascii   VWUSQ
3107 0x0002f08c 0x1002f08c 6   7    .text   ascii   D$8PQR
3108 0x0002f0c1 0x1002f0c1 5   7    .text   utf8    L$xƄ$
3109 0x0002f0cd 0x1002f0cd 4   5    .text   ascii   t$tQ
3110 0x0002f117 0x1002f117 4   6    .text   utf8    @QƄ$
3111 0x0002f15f 0x1002f15f 4   5    .text   ascii   T$4h
3112 0x0002f194 0x1002f194 6   8    .text   utf8    D$4PƄ$
3113 0x0002f1aa 0x1002f1aa 6   8    .text   utf8    L$(QǄ$
3114 0x0002f1ed 0x1002f1ed 4   5    .text   ascii   D$pP
3115 0x0002f20e 0x1002f20e 4   5    .text   ascii   T$8h
3116 0x0002f248 0x1002f248 4   5    .text   ascii   L$`Q
3117 0x0002f26f 0x1002f26f 4   5    .text   ascii   D$8h
3118 0x0002f286 0x1002f286 4   5    .text   ascii   L$tQ
3119 0x0002f2a9 0x1002f2a9 4   5    .text   ascii   T$PR
3120 0x0002f2ca 0x1002f2ca 4   5    .text   ascii   T$8h
3121 0x0002f2e1 0x1002f2e1 4   5    .text   ascii   D$dP
3122 0x0002f311 0x1002f311 4   5    .text   ascii   L$@Q
3123 0x0002f338 0x1002f338 4   5    .text   ascii   D$8h
3124 0x0002f34f 0x1002f34f 4   5    .text   ascii   L$TQ
3125 0x0002f393 0x1002f393 4   5    .text   ascii   T$8h
3126 0x0002f3f6 0x1002f3f6 6   8    .text   utf8    L$4QƄ$
3127 0x0002f40c 0x1002f40c 6   8    .text   utf8    T$(RǄ$
3128 0x0002f47f 0x1002f47f 6   8    .text   utf8    T$$RǄ$
3129 0x0002f4e1 0x1002f4e1 7   10   .text   utf8    L$$Q뜋K\f
3130 0x0002f4fd 0x1002f4fd 4   5    .text   ascii   PPPj
3131 0x0002f510 0x1002f510 4   5    .text   ascii   D$$P
3132 0x0002f52c 0x1002f52c 4   5    .text   ascii   L$$Q
3133 0x0002f65a 0x1002f65a 4   5    .text   ascii   @<RP
3134 0x0002f675 0x1002f675 4   5    .text   ascii   PPPj
3135 0x0002f6a4 0x1002f6a4 4   5    .text   ascii   PPPj
3136 0x0002f6dd 0x1002f6dd 4   5    .text   ascii   PPPj
3137 0x0002f708 0x1002f708 4   5    .text   ascii   PPPj
3138 0x0002f7ed 0x1002f7ed 4   5    .text   ascii   _^[d
3139 0x0002f87f 0x1002f87f 6   8    .text   utf8    ̋D$\bVW
3140 0x0002f8ec 0x1002f8ec 4   5    .text   ascii   PPPj
3141 0x0002f91f 0x1002f91f 6   8    .text   utf8    ̋D$\fVW
3142 0x0002f943 0x1002f943 4   5    .text   ascii   PPPj
3143 0x0002f96f 0x1002f96f 6   8    .text   utf8    ̋D$\fVW
3144 0x0002f996 0x1002f996 4   5    .text   ascii   PPPj
3145 0x0002f9c2 0x1002f9c2 4   5    .text   ascii   \$\bU
3146 0x0002f9fd 0x1002f9fd 5   6    .text   ascii   u\ePPP
3147 0x0002fa11 0x1002fa11 4   5    .text   ascii   _^]3
3148 0x0002fa52 0x1002fa52 4   5    .text   ascii   PPPj
3149 0x0002fa61 0x1002fa61 4   5    .text   ascii   _^]3
3150 0x0002fa71 0x1002fa71 4   5    .text   ascii   |$ 9
3151 0x0002faa2 0x1002faa2 4   5    .text   ascii   PPPj
3152 0x0002fab1 0x1002fab1 4   5    .text   ascii   _^]3
3153 0x0002fad2 0x1002fad2 4   5    .text   ascii   \$\bU
3154 0x0002fb28 0x1002fb28 5   6    .text   ascii   u"PPP
3155 0x0002fb3c 0x1002fb3c 4   5    .text   ascii   _^]3
3156 0x0002fb9f 0x1002fb9f 4   5    .text   ascii   PPPj
3157 0x0002fbae 0x1002fbae 4   5    .text   ascii   _^]3
3158 0x0002fbc5 0x1002fbc5 4   5    .text   ascii   |$ 9
3159 0x0002fbf5 0x1002fbf5 5   6    .text   ascii   UPj\ah
3160 0x0002fc11 0x1002fc11 4   5    .text   ascii   PPPj
3161 0x0002fc20 0x1002fc20 4   5    .text   ascii   _^]3
3162 0x0002fc66 0x1002fc66 5   6    .text   ascii   D$\ft\a
3163 0x0002fca2 0x1002fca2 4   5    .text   ascii   4SUV
3164 0x0002fd15 0x1002fd15 5   6    .text   ascii   u0PhP
3165 0x0002fd24 0x1002fd24 4   5    .text   ascii   L$PP
3166 0x0002fd3b 0x1002fd3b 4   5    .text   ascii   _^]3
3167 0x0002fd48 0x1002fd48 4   5    .text   ascii   L$$Q
3168 0x0002fd6b 0x1002fd6b 5   6    .text   ascii   D$(Pj
3169 0x0002fd71 0x1002fd71 4   5    .text   ascii   UhpY
3170 0x0002fd89 0x1002fd89 5   6    .text   ascii   D$0u,
3171 0x0002fda0 0x1002fda0 5   6    .text   ascii   L$Xh.
3172 0x0002fdae 0x1002fdae 4   5    .text   ascii   _^]3
3173 0x0002fdbb 0x1002fdbb 5   6    .text   ascii   D$(Pj
3174 0x0002fdc1 0x1002fdc1 4   5    .text   ascii   Uh@q
3175 0x0002fddd 0x1002fddd 4   5    .text   ascii   D$4u
3176 0x0002fdf5 0x1002fdf5 4   6    .text   utf8    3ۋFt
3177 0x0002fe2b 0x1002fe2b 5   7    .text   utf8    <|ɋFl
3178 0x0002fe6f 0x1002fe6f 4   5    .text   ascii   u Ph
3179 0x0002fecd 0x1002fecd 4   5    .text   ascii   D$0P
3180 0x0002ff20 0x1002ff20 6   7    .text   ascii   ^p9^tt
3181 0x0002ff3b 0x1002ff3b 4   5    .text   ascii   9^tu
3182 0x0002ff58 0x1002ff58 4   5    .text   ascii   SSSj
3183 0x0002ff88 0x1002ff88 4   5    .text   ascii   t%h8
3184 0x0002ff9a 0x1002ff9a 4   5    .text   ascii   SSSh
3185 0x0002ffd7 0x1002ffd7 5   6    .text   ascii   u$Sh\f
3186 0x00030030 0x10030030 4   5    .text   ascii   K0RP
3187 0x00030040 0x10030040 4   5    .text   ascii   L$4R
3188 0x00030046 0x10030046 4   5    .text   ascii   PRhh
3189 0x00030064 0x10030064 4   5    .text   ascii   u PP
3190 0x000300a9 0x100300a9 5   6    .text   ascii   u$PhP
3191 0x00030135 0x10030135 4   5    .text   ascii   PPPj
3192 0x0003014c 0x1003014c 4   5    .text   ascii   T$<R
3193 0x000301d9 0x100301d9 4   5    .text   ascii   u PP
3194 0x0003020f 0x1003020f 5   6    .text   ascii   u$PhP
3195 0x000302ce 0x100302ce 5   6    .text   ascii   u$Ph\f
3196 0x00030316 0x10030316 5   6    .text   ascii   u(PhP
3197 0x00030358 0x10030358 5   6    .text   ascii   \$0hp
3198 0x000303be 0x100303be 4   5    .text   ascii   t]hp
3199 0x0003042a 0x1003042a 4   5    .text   ascii   _^][
3200 0x00030481 0x10030481 4   5    .text   ascii   u*PP
3201 0x000304a3 0x100304a3 4   5    .text   ascii   _^]3
3202 0x000304be 0x100304be 4   5    .text   ascii   L$$;
3203 0x0003050e 0x1003050e 4   5    .text   ascii   u.PP
3204 0x00030534 0x10030534 4   5    .text   ascii   _^]3
3205 0x00030563 0x10030563 4   5    .text   ascii   L$\fQ
3206 0x00030572 0x10030572 4   5    .text   ascii   u*PP
3207 0x000305d8 0x100305d8 4   5    .text   ascii   u+PP
3208 0x000305e3 0x100305e3 4   5    .text   ascii   L$ P
3209 0x00030622 0x10030622 4   5    .text   ascii   \bSVW
3210 0x00030746 0x10030746 5   6    .text   ascii   SPRQW
3211 0x000307b1 0x100307b1 6   7    .text   ascii   u-PhXW
3212 0x0003087b 0x1003087b 4   6    .text   utf8    ËL$\b
3213 0x000308ed 0x100308ed 5   6    .text   ascii   \$$VW
3214 0x000308fa 0x100308fa 7   8    .text   ascii   L$(PQRW
3215 0x00030915 0x10030915 4   5    .text   ascii   SSSj
3216 0x00030979 0x10030979 4   5    .text   ascii   9Q\b~
3217 0x0003097f 0x1003097f 6   7    .text   ascii   Q\b9Q\f~
3218 0x0003099b 0x1003099b 4   5    .text   ascii   9Y\b}
3219 0x000309a1 0x100309a1 6   7    .text   ascii   Y\b9Y\f}
3220 0x000309b0 0x100309b0 4   7    .text   utf8    +ʋř3
3221 0x000309d8 0x100309d8 4   5    .text   ascii   ]~\nP
3222 0x00030a30 0x10030a30 4   5    .text   ascii   |$(S
3223 0x00030a49 0x10030a49 4   5    .text   ascii   UUUj
3224 0x00030a6b 0x10030a6b 4   5    .text   ascii   UUUj
3225 0x00030a8d 0x10030a8d 4   5    .text   ascii   UUUj
3226 0x00030ab0 0x10030ab0 4   5    .text   ascii   UUUj
3227 0x00030ad6 0x10030ad6 4   5    .text   ascii   t-Uh
3228 0x00030af2 0x10030af2 4   5    .text   ascii   UUUj
3229 0x00030b17 0x10030b17 4   5    .text   ascii   UUUj
3230 0x00030b2a 0x10030b2a 6   7    .text   ascii   9l$8uM
3231 0x00030b45 0x10030b45 7   8    .text   ascii   T$,RQPW
3232 0x00030b5a 0x10030b5a 4   5    .text   ascii   UUUj
3233 0x00030b74 0x10030b74 4   5    .text   ascii   L$,\t
3234 0x00030b8c 0x10030b8c 7   9    .text   utf8    @<;ŉD$,
3235 0x00030bb0 0x10030bb0 5   6    .text   ascii   D$,K;
3236 0x00030bc2 0x10030bc2 4   5    .text   ascii   UUUh
3237 0x00030be5 0x10030be5 4   5    .text   ascii   Q<PR
3238 0x00030c00 0x10030c00 4   5    .text   ascii   UUUj
3239 0x00030c44 0x10030c44 4   5    .text   ascii   UUUj
3240 0x00030c87 0x10030c87 4   5    .text   ascii   UUUj
3241 0x00030c9a 0x10030c9a 4   5    .text   ascii   9l$8
3242 0x00030cc9 0x10030cc9 4   5    .text   ascii   L$ Q
3243 0x00030d11 0x10030d11 4   5    .text   ascii   L$8Q
3244 0x00030de7 0x10030de7 9   10   .text   ascii   T$49*t\rj\a
3245 0x00030e52 0x10030e52 4   5    .text   ascii   UUUj
3246 0x00030e6d 0x10030e6d 6   7    .text   ascii   D$\f_^]
3247 0x00030e88 0x10030e88 4   5    .text   ascii   D$,W
3248 0x00030e9b 0x10030e9b 5   6    .text   ascii   L$Pht
3249 0x00030ec5 0x10030ec5 9   10   .text   ascii   \bjcjcjcjc
3250 0x00030ecf 0x10030ecf 5   6    .text   ascii   T$@RV
3251 0x00030edd 0x10030edd 5   6    .text   ascii   u+PPP
3252 0x00030efe 0x10030efe 4   5    .text   ascii   \b_^3
3253 0x00030f16 0x10030f16 4   5    .text   ascii   D$\eP
3254 0x00030f1b 0x10030f1b 4   5    .text   ascii   L$ Q
3255 0x00030f27 0x10030f27 4   6    .text   utf8    ˉ\$4
3256 0x00030f57 0x10030f57 5   6    .text   ascii   \b[_^3
3257 0x00030f6f 0x10030f6f 4   5    .text   ascii   T$ R
3258 0x00030f74 0x10030f74 5   6    .text   ascii   D$#PV
3259 0x00030f91 0x10030f91 5   6    .text   ascii   T$DRV
3260 0x00030fd0 0x10030fd0 4   5    .text   ascii   L$\eQ
3261 0x00030fd5 0x10030fd5 5   6    .text   ascii   T$ RV
3262 0x00030ff4 0x10030ff4 4   5    .text   ascii   D$\eP
3263 0x00030ff9 0x10030ff9 5   6    .text   ascii   L$ QV
3264 0x0003102b 0x1003102b 4   5    .text   ascii   L$'V
3265 0x00031030 0x10031030 4   6    .text   utf8    ˈT$*
3266 0x00031068 0x10031068 4   5    .text   ascii   T$\eR
3267 0x0003106d 0x1003106d 5   6    .text   ascii   D$ PV
3268 0x000310d9 0x100310d9 4   5    .text   ascii   D$(H
3269 0x0003111f 0x1003111f 4   5    .text   ascii   [_^3
3270 0x00031169 0x10031169 4   5    .text   ascii   L$\eQ
3271 0x0003116e 0x1003116e 5   6    .text   ascii   T$ RV
3272 0x000311f4 0x100311f4 4   5    .text   ascii   T$\eR
3273 0x000311f9 0x100311f9 5   6    .text   ascii   D$ PV
3274 0x0003120f 0x1003120f 5   6    .text   ascii   :D$Hv
3275 0x00031239 0x10031239 5   6    .text   ascii   :D$\ev
3276 0x0003128c 0x1003128c 4   5    .text   ascii   T$\e+
3277 0x000312a3 0x100312a3 4   5    .text   ascii   L$ V
3278 0x000312d2 0x100312d2 5   6    .text   ascii   L$$u2
